ID,Age,Location,Seniority-Book
2,18,usa,2002
10,26,spain,2001
20,19,usa,1998
36,24,canada,1979
42,17,usa,2001
44,51,usa,2000
51,34,usa,1999
56,24,usa,1995
64,32,france,2002
67,43,usa,1994
70,44,usa,2003
75,37,usa,1991
78,18,usa,1988
79,20,canada,1995
85,41,united kingdom,2002
92,20,spain,2001
99,42,usa,2003
109,20,usa,1995
114,57,usa,2000
125,49,usa,1994
129,47,usa,2004
132,38,usa,2002
133,45,usa,1994
139,35,usa,2003
144,62,usa,2002
165,62,usa,2001
176,34,united kingdom,2000
178,28,usa,2002
185,17,usa,1993
199,38,usa,2002
202,28,canada,1997
204,15,usa,2002
215,20,canada,2001
228,41,usa,1995
237,27,usa,1989
242,37,germany,2000
250,25,usa,2002
254,24,usa,2003
272,20,usa,1987
278,21,usa,1993
289,15,usa,2000
302,53,usa,2004
310,26,spain,1999
323,23,usa,1999
332,59,usa,1998
337,17,spain,2000
345,27,usa,1998
361,25,spain,2002
362,63,canada,1996
367,45,usa,2002
372,22,germany,1990
376,35,usa,1993
387,17,usa,2002
388,35,usa,1997
392,44,spain,1987
393,24,united kingdom,1996
406,37,spain,2002
408,17,usa,1992
413,17,usa,1998
422,23,canada,2004
424,29,usa,2002
431,40,usa,1990
433,48,usa,1996
440,16,usa,2001
444,40,usa,2003
463,20,australia,1995
469,18,usa,1993
475,34,canada,1999
483,72,usa,2002
486,31,usa,2002
493,29,usa,1997
496,51,usa,1997
499,62,usa,2004
500,17,usa,2003
503,40,usa,1996
505,51,usa,1993
508,29,usa,1989
512,58,usa,2003
523,19,usa,2000
530,47,usa,1974
538,26,usa,2003
565,48,usa,2001
595,17,usa,2000
596,49,usa,2001
602,23,usa,1993
620,45,canada,1997
625,41,france,2001
638,20,usa,2001
643,23,france,2001
651,26,usa,2000
677,27,usa,2000
683,28,usa,1998
685,21,usa,2001
701,31,usa,1988
709,14,usa,1999
711,27,united kingdom,2001
712,29,switzerland,1993
713,49,united kingdom,1990
720,16,usa,1995
726,31,usa,1995
735,29,usa,1994
736,34,germany,1992
739,55,usa,1995
741,16,usa,2002
744,48,usa,1993
746,36,usa,1993
757,29,usa,1995
771,38,usa,1987
774,16,usa,1982
776,23,new zealand,1990
782,57,usa,2004
786,48,usa,2002
805,34,usa,2001
809,36,usa,2003
811,34,switzerland,1995
824,15,usa,1991
828,35,usa,1997
834,17,usa,1999
835,35,italy,1994
843,25,usa,2002
850,22,germany,2001
853,24,usa,2002
876,33,usa,1988
882,23,usa,1997
883,43,usa,1998
887,30,usa,1997
895,40,australia,1984
896,27,united kingdom,1997
899,23,germany,1995
900,25,usa,1997
901,21,united kingdom,1998
902,18,usa,2002
903,19,usa,1982
913,44,united kingdom,2002
914,51,germany,1993
915,50,usa,2003
924,29,france,1999
938,55,canada,2002
944,26,canada,1989
965,24,usa,2001
969,13,usa,2003
970,15,australia,2004
989,33,usa,2000
999,21,usa,1996
1000,34,italy,2002
1007,16,usa,1999
1009,56,usa,2002
1010,26,usa,1993
1011,52,canada,1994
1017,35,germany,1996
1025,33,united kingdom,2001
1031,52,usa,2001
1038,26,usa,1985
1048,22,canada,2003
1054,37,usa,2003
1057,19,united kingdom,1996
1060,38,usa,2001
1063,19,canada,1996
1075,49,usa,2003
1082,36,usa,1997
1087,46,usa,1992
1089,22,usa,2002
1094,18,usa,1998
1096,18,usa,1990
1100,24,canada,1995
1113,22,usa,1998
1116,29,canada,1999
1123,23,canada,1998
1129,53,usa,2002
1133,46,australia,1980
1137,25,spain,2001
1140,19,usa,2004
1150,25,usa,1994
1155,22,usa,2000
1164,35,usa,1976
1166,22,france,1996
1167,25,usa,1997
1168,20,germany,2003
1169,27,usa,1998
1170,17,usa,1997
1172,26,germany,1999
1174,32,spain,2000
1178,9,germany,1996
1180,23,usa,2001
1184,38,usa,1997
1189,39,germany,1994
1211,22,france,2002
1214,30,germany,1984
1225,22,usa,1990
1231,13,new zealand,2000
1233,27,italy,2001
1234,25,spain,1998
1238,42,new zealand,1988
1242,25,canada,2002
1250,44,usa,2002
1254,26,usa,2001
1258,18,usa,1983
1259,29,canada,1993
1261,46,usa,2000
1262,39,usa,2003
1263,23,germany,2003
1266,19,usa,2001
1270,33,usa,2001
1281,32,united kingdom,2002
1297,30,usa,2000
1300,37,usa,2001
1303,56,usa,2003
1309,28,usa,1996
1314,48,italy,2002
1317,63,usa,1993
1334,32,united kingdom,2002
1343,33,united kingdom,1998
1348,43,usa,1996
1355,71,usa,2002
1359,14,usa,1959
1360,36,usa,2000
1368,22,usa,2003
1372,34,germany,1999
1375,59,usa,2001
1377,20,usa,1998
1389,22,usa,1995
1396,35,usa,1997
1399,41,usa,2003
1403,26,usa,2000
1409,74,usa,2000
1410,22,usa,2000
1412,47,usa,2004
1416,25,united kingdom,1997
1427,22,usa,1995
1433,54,usa,2002
1435,36,usa,2003
1442,36,france,1990
1448,61,usa,2001
1466,28,germany,1992
1484,28,united kingdom,1993
1485,30,usa,1997
1486,75,australia,2004
1487,23,usa,1994
1489,20,usa,1998
1491,22,united kingdom,1990
1511,25,usa,1991
1513,40,usa,1994
1515,27,usa,1999
1517,32,spain,2002
1519,61,usa,2002
1530,26,usa,2001
1535,69,usa,1995
1541,25,germany,1996
1546,40,usa,2002
1548,28,usa,2002
1554,29,usa,1997
1557,32,usa,2000
1558,61,usa,1989
1567,57,usa,1988
1570,28,usa,1989
1582,48,usa,1999
1583,48,usa,1983
1585,29,usa,1990
1586,14,united kingdom,1999
1589,50,usa,2003
1591,24,germany,1994
1596,51,usa,2000
1597,23,usa,1991
1608,27,usa,1991
1617,24,usa,1985
1633,29,usa,1980
1641,22,usa,1995
1643,24,australia,1995
1653,17,spain,1996
1661,60,usa,1988
1672,18,usa,1993
1674,26,usa,2004
1683,46,usa,1998
1687,47,usa,1995
1688,53,united kingdom,1992
1696,34,spain,2002
1703,19,spain,1999
1705,32,usa,1998
1706,26,usa,1999
1718,28,usa,2002
1721,21,canada,1996
1723,40,usa,1998
1725,25,united kingdom,2002
1729,55,canada,2003
1730,33,usa,2001
1733,30,usa,2002
1750,43,italy,1997
1759,29,usa,1987
1768,25,usa,1999
1770,34,spain,2003
1773,16,usa,1994
1775,14,usa,2000
1790,25,usa,1997
1793,26,canada,1990
1802,43,usa,1975
1803,48,usa,2003
1812,24,usa,2001
1830,54,united kingdom,1995
1844,36,germany,2001
1846,25,france,2002
1848,22,usa,1997
1850,3,australia,1997
1863,43,germany,2001
1869,21,usa,2001
1881,31,usa,1992
1892,47,usa,1999
1898,47,usa,2001
1900,51,usa,1993
1918,23,united kingdom,2004
1927,20,usa,2002
1928,17,usa,1993
1937,42,usa,2000
1945,54,usa,1997
1948,34,usa,1999
1951,28,germany,1998
1961,17,usa,1978
1963,24,australia,1981
1965,31,germany,1994
1969,25,france,1964
1971,25,usa,2000
1986,19,united kingdom,1986
1989,27,usa,2000
1995,59,spain,1984
1996,34,australia,1999
2009,31,germany,1990
2018,21,canada,1993
2020,42,canada,1996
2024,34,usa,1993
2030,31,usa,1995
2033,27,usa,2000
2035,15,usa,1995
2036,49,usa,2002
2046,22,usa,1998
2060,54,usa,1985
2070,22,usa,1984
2074,35,spain,2001
2075,29,germany,1990
2077,25,usa,1995
2082,14,usa,1996
2084,21,spain,2002
2090,28,usa,1997
2103,43,usa,2004
2106,44,usa,2003
2115,55,usa,1996
2134,35,usa,1994
2136,45,usa,1998
2139,33,usa,2003
2147,35,usa,2003
2152,1,usa,2003
2155,18,spain,1990
2158,58,usa,1983
2170,29,germany,1995
2179,30,usa,2003
2181,15,canada,2002
2189,24,canada,2000
2190,29,usa,1987
2197,26,canada,1999
2199,25,australia,1990
2203,40,united kingdom,1985
2218,48,usa,1996
2224,23,france,1983
2230,44,usa,2003
2238,34,usa,1990
2255,35,usa,1997
2268,22,spain,2004
2275,22,usa,1998
2276,46,usa,1975
2281,30,usa,1998
2283,18,usa,1988
2287,35,usa,1989
2288,30,usa,2004
2295,21,usa,1993
2296,61,usa,2002
2305,71,united kingdom,1997
2313,23,usa,1992
2324,40,usa,2000
2336,17,usa,2001
2337,34,usa,1994
2340,29,usa,2003
2345,55,united kingdom,2003
2350,24,usa,1999
2351,24,germany,2001
2352,18,germany,2001
2357,35,usa,2001
2358,23,usa,1990
2363,42,usa,1990
2366,16,usa,1965
2368,18,usa,1985
2375,20,usa,2002
2376,38,usa,2001
2386,40,usa,1998
2388,64,usa,2003
2395,43,usa,1999
2399,32,usa,1987
2403,41,usa,1998
2406,48,germany,2003
2411,37,usa,2004
2415,33,germany,1984
2416,21,spain,2000
2417,35,usa,2002
2425,54,canada,2000
2437,45,usa,1991
2439,26,usa,1977
2451,45,usa,1996
2455,42,germany,2000
2457,24,canada,2003
2461,59,usa,1997
2470,22,usa,1999
2473,31,usa,2003
2499,49,usa,2001
2503,36,united kingdom,2003
2506,50,spain,2003
2508,38,united kingdom,1998
2515,38,spain,2002
2520,42,spain,2002
2531,20,italy,1997
2540,46,usa,1981
2542,54,usa,1966
2545,48,germany,2003
2549,31,france,2002
2562,53,usa,2002
2567,53,usa,1985
2578,16,canada,1995
2583,33,usa,2000
2590,26,usa,1999
2595,34,germany,1999
2597,29,usa,1998
2599,15,spain,1998
2605,33,usa,2003
2608,17,usa,1999
2622,41,usa,2002
2630,66,usa,2001
2632,47,usa,1988
2634,53,usa,2001
2640,24,usa,1995
2643,28,usa,1996
2653,46,usa,2001
2656,83,usa,2001
2678,16,usa,1998
2679,34,united kingdom,1978
2683,17,usa,2002
2685,21,italy,1999
2687,35,usa,1994
2688,16,germany,1992
2690,35,usa,1985
2700,29,usa,2002
2708,59,united kingdom,2003
2718,30,usa,1999
2719,37,usa,1999
2729,19,italy,2002
2738,32,italy,1993
2742,37,usa,1994
2746,25,usa,1986
2749,18,canada,2002
2760,23,switzerland,2000
2766,42,usa,2000
2768,30,germany,2002
2769,27,italy,2002
2771,56,usa,2002
2789,28,spain,1997
2790,50,usa,2003
2793,34,usa,2003
2798,35,usa,1999
2803,36,spain,1999
2804,53,usa,1999
2808,21,spain,2000
2830,13,australia,2004
2854,36,usa,1998
2855,35,usa,1994
2861,26,usa,1994
2882,43,usa,2001
2883,43,usa,1988
2885,33,usa,1989
2892,26,usa,1999
2893,21,spain,1999
2906,20,france,2000
2914,34,usa,1999
2935,59,usa,2000
2936,30,united kingdom,1995
2942,28,canada,2001
2945,29,usa,2000
2946,31,australia,1990
2948,24,usa,2001
2950,56,usa,1995
2954,71,usa,1998
2957,34,new zealand,1978
2962,47,usa,1989
2972,60,usa,1992
2974,30,usa,1994
2977,25,usa,1998
2979,34,italy,1990
2982,34,canada,1996
2983,25,united kingdom,1985
2985,17,united kingdom,1999
2995,61,usa,1997
2996,21,italy,2002
3020,37,usa,2003
3027,41,united kingdom,1999
3032,40,australia,2004
3052,31,usa,2004
3053,33,germany,1997
3061,19,usa,2002
3063,57,usa,1997
3066,29,usa,1981
3087,20,usa,1988
3088,25,france,1996
3093,46,usa,1992
3100,42,usa,1994
3101,28,spain,2002
3104,27,usa,2002
3133,34,usa,1998
3142,29,usa,1990
3145,34,usa,2000
3150,51,usa,1994
3166,15,usa,1982
3167,42,usa,1996
3168,17,canada,1999
3172,32,usa,1957
3174,24,usa,1977
3175,35,usa,1995
3177,44,new zealand,1990
3193,24,australia,1990
3194,20,usa,1988
3197,38,usa,1992
3200,42,spain,2002
3206,23,spain,1997
3209,24,spain,1993
3232,35,italy,2003
3243,28,usa,2000
3260,45,usa,2000
3282,52,canada,1999
3283,19,germany,1997
3289,38,canada,1980
3293,19,spain,1993
3296,63,usa,1999
3300,49,usa,1999
3305,26,canada,2000
3315,51,australia,1998
3321,25,canada,1988
3326,37,germany,2000
3331,60,usa,2000
3332,54,united kingdom,1999
3343,36,spain,2004
3344,61,usa,2003
3350,23,usa,1994
3351,42,usa,1990
3355,19,spain,1997
3363,29,usa,1999
3364,29,canada,2000
3371,25,usa,1997
3373,30,usa,1991
3374,47,canada,1999
3376,26,canada,1989
3379,16,canada,1983
3393,55,usa,1981
3400,27,spain,2003
3416,34,germany,2003
3418,14,usa,1993
3422,14,australia,1996
3427,50,usa,2000
3437,103,usa,2003
3445,45,usa,1986
3452,38,canada,1990
3454,36,usa,2002
3460,32,canada,1998
3463,66,usa,1996
3467,36,usa,2002
3472,24,usa,1992
3481,49,usa,1986
3505,30,usa,1995
3508,46,united kingdom,1977
3509,29,usa,2003
3510,57,usa,1999
3514,22,usa,2003
3519,27,usa,2003
3538,31,spain,1995
3543,37,usa,1992
3544,58,usa,2003
3546,27,usa,2002
3550,30,usa,1982
3554,11,usa,2002
3556,68,usa,2003
3564,24,spain,1999
3571,34,canada,2003
3573,32,usa,2000
3575,35,usa,2002
3578,25,canada,1996
3580,44,usa,2002
3583,48,australia,2002
3586,46,usa,1997
3594,48,new zealand,1998
3601,33,usa,1994
3602,22,usa,1997
3603,34,usa,1999
3604,26,usa,1993
3605,28,usa,1991
3611,0,usa,2001
3613,29,canada,2002
3633,34,canada,2000
3641,34,usa,1984
3647,17,usa,1999
3652,16,france,2000
3665,34,usa,1994
3668,25,usa,2002
3669,34,usa,1990
3673,56,usa,1996
3675,24,spain,1998
3677,2,usa,1998
3679,25,usa,2000
3684,68,united kingdom,2003
3693,23,usa,2000
3694,16,usa,1998
3704,25,france,1976
3709,30,usa,1999
3713,39,usa,2002
3719,18,usa,1997
3728,40,usa,1998
3740,24,united kingdom,1992
3743,29,italy,1993
3752,44,switzerland,2002
3756,44,usa,2002
3770,20,usa,2002
3771,17,spain,2003
3775,57,usa,1992
3776,39,usa,1993
3777,27,united kingdom,2000
3789,25,germany,2002
3792,12,usa,1999
3798,23,usa,1995
3799,18,united kingdom,1964
3816,33,italy,1981
3817,29,usa,1990
3821,36,usa,1996
3827,23,usa,2003
3829,28,usa,2002
3837,21,usa,1985
3840,46,usa,2003
3852,30,spain,2002
3860,42,usa,1994
3861,37,usa,2000
3865,25,usa,1998
3869,38,usa,1999
3871,50,usa,1987
3875,22,united kingdom,1990
3876,34,germany,1999
3879,40,usa,2000
3881,34,canada,2004
3884,64,usa,2001
3896,32,france,1972
3902,59,canada,1990
3910,25,usa,2000
3916,36,italy,2002
3917,25,canada,2000
3921,45,usa,1999
3930,47,spain,2003
3936,40,france,1992
3937,31,germany,1996
3938,37,usa,1997
3939,53,usa,1998
3940,32,france,1999
3943,40,usa,2000
3954,24,usa,2001
3959,23,usa,1998
3960,51,france,1999
3966,15,usa,2001
3975,29,usa,2002
3977,63,usa,2001
3991,30,usa,2001
3999,71,usa,2003
4016,17,usa,1991
4017,48,usa,2003
4035,60,usa,1997
4039,22,canada,1990
4041,45,usa,2000
4044,33,usa,2001
4049,65,united kingdom,1999
4051,37,united kingdom,1997
4055,52,canada,1986
4060,15,united kingdom,1990
4062,41,united kingdom,1990
4066,31,usa,2000
4076,27,spain,1983
4091,77,usa,1998
4092,27,usa,2003
4096,38,canada,2002
4097,24,spain,2001
4103,27,spain,1996
4107,19,canada,1983
4118,20,usa,1986
4119,13,usa,2003
4122,24,usa,1998
4124,19,canada,2000
4127,33,new zealand,1997
4131,51,united kingdom,2002
4134,42,germany,2000
4138,20,usa,1999
4144,31,canada,2001
4148,20,usa,2004
4157,39,usa,1957
4165,53,usa,1998
4169,57,usa,2003
4174,48,usa,2000
4177,45,usa,1988
4179,18,usa,2002
