ISBN,Title,Author,Year_Publication,Publisher
29219,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada
45857,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,Farrar Straus Giroux
14197,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
49053,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,1999,Kensington Publishing Corp.
243,The Testament,John Grisham,1999,Dell
1199,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume
34828,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999,Three Rivers Press
139,Wild Animus,Rich Shapero,2004,Too Far
5363,Airframe,Michael Crichton,1997,Ballantine Books
7625,Timeline,MICHAEL CRICHTON,2000,Ballantine Books
17029,Prague : A Novel,ARTHUR PHILLIPS,2003,Random House Trade Paperbacks
29191,Chocolate Jesus,Stephan Jaramillo,1998,Berkley Publishing Group
58583,Lying Awake,Mark Salzman,2000,Alfred A. Knopf
840,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company
233,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books
39072,Pigs in Heaven,Barbara Kingsolver,1993,Harpercollins
46017,Downtown,Anne Rivers Siddons,1995,HarperTorch
58499,Icebound,Dean R. Koontz,2000,Bantam Books
6391,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket
1227,From the Corner of His Eye,Dean Koontz,2001,Bantam Books
12956,Isle of Dogs,Patricia Cornwell,2002,Berkley Publishing Group
6761,Purity in Death,J.D. Robb,2002,Berkley Publishing Group
17663,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997,Dell
4083,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000,Tyndale House Publishers
4507,The Street Lawyer,JOHN GRISHAM,1999,Dell
35456,"Love, Medicine and Miracles",M.D. Bernie S. Siegel,1988,HarperCollins Publishers
14593,All the King's Men,Robert Penn Warren,1982,Harvest Books
22128,A Soldier of the Great War,Mark Helprin,1992,Avon Books
5550,LONESOME DOVE,Larry McMurtry,1986,Pocket
5048,Shabanu: Daughter of the Wind (Border Trilogy),SUZANNE FISHER STAPLES,1991,Laurel Leaf
21590,Haveli (Laurel Leaf Books),SUZANNE FISHER STAPLES,1995,Laurel Leaf
10851,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,1978,Ballantine Books
3530,Breathing Lessons,Anne Tyler,1994,Berkley Publishing Group
3826,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12)
10646,Heart of Darkness (Wordsworth Collection),Joseph Conrad,1998,NTC/Contemporary Publishing Company
7990,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,1997,NTC/Contemporary Publishing Company
3100,The Tao of Pooh,Benjamin Hoff,1983,Penguin Books
1839,Seabiscuit,LAURA HILLENBRAND,2003,Ballantine Books
3501,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,Thomas Nelson
2684,Starship Troopers,Robert A. Heinlein,1987,Ace Books
232,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,1988,Laurel Leaf
2405,Anil's Ghost,MICHAEL ONDAATJE,2000,Knopf
58210,Turning Thirty,Mike Gayle,2000,Hodder &amp; Stoughton General Division
7999,Standing Firm: A Vice-Presidential Memoir,Dan Quayle,1994,Harpercollins
5360,The Catcher in the Rye,J.D. Salinger,1991,"Little, Brown"
37517,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),J. R. R. Tolkien,2001,Minotauro
37518,El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),J. R. R. Tolkien,2001,Minotauro
6027,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994,Random House
7509,Pretend You Don't See Her,Mary Higgins Clark,1998,Pocket
63852,Female Intelligence,Jane Heller,2001,St. Martin's Press
6536,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,2000,Warner Books
1,The Pillars of the Earth,Ken Follett,1996,Signet Book
5812,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage
1958,The Five People You Meet in Heaven,Mitch Albom,2003,Hyperion
11197,Relics (Star Trek: The Next Generation),Michael Jan Friedman,1992,Star Trek
47262,"The Touch of Your Shadow, the Whisper of Your Name (Babylon 5, Book 5)",Neal Barrett Jr.,1996,Dell
20143,Blood Oath,David Morrell,1994,St. Martin's Press
22593,The Alibi,Sandra Brown,2000,Warner Books
1022,The Beach House,James Patterson,2003,Warner Books
8067,A Kiss Remembered,Sandra Brown,2003,Warner Books
19898,The Short Forever,Stuart Woods,2003,Signet Book
11613,Dead Aim,IRIS JOHANSEN,2004,Bantam Books
1048,Angels &amp; Demons,Dan Brown,2001,Pocket Star
66534,The Deal,Joe Hutsko,2000,Tor Books (Mm)
55082,All He Ever Wanted: A Novel,Anita Shreve,2004,Back Bay Books
1136,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,2002,Pocket
29055,The Mosquito Coast,Paul Theroux,1990,Harper Mass Market Paperbacks (Mm)
42950,"Goodbye, My Little Ones: The True Story of a Murderous Mother and Five Innocent Victims",Charles Hickey,1996,Onyx Books
1724,The Girl Who Loved Tom Gordon,Stephen King,2000,Pocket
6501,The Sum of All Fears,Tom Clancy,2002,Berkley Publishing Group
1843,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,DANA REEVE,1999,Random House
8568,O Deus Das Pequenas Coisas,Roy,1998,Edicoes Asa
13432,One Hundred Years of Solitude,Gabriel Garcia Marquez,1998,Perennial
236,Little Altars Everywhere: A Novel,Rebecca Wells,1996,Perennial
1121,Before I Say Good-Bye,Mary Higgins Clark,2001,Pocket
8974,Slow Waltz in Cedar Bend,Robert James Waller,1994,Warner Books
2437,Atonement : A Novel,IAN MCEWAN,2003,Anchor
41359,Gangster,Lorenzo Carcaterra,2002,Fawcett Books
9014,Hush,Anne Frasier,2002,Onyx Books
14150,Rebecca,Daphne Du Maurier,1994,Avon
52958,Scarlet Letter,Nathaniel Hawthorne,1993,Signet Book
1857,Diary of a Mad Mom-To-Be,Laura Wolf,2003,Delta
39729,Locked in Time (Laurel Leaf Books),LOIS DUNCAN,1986,Laure Leaf
62408,Contact,Susan Grant,2002,Love Spell
56368,The Brimstone Wedding,Barbara Vine,1997,Penguin Books Ltd
29515,Through Wolf's Eyes (Wolf),Jane Lindskold,2002,Tor Fantasy
12170,Puerto Vallarta Squeeze,Robert James Waller,1995,Warner Books
4028,Tree Grows In Brooklyn,Betty Smith,1988,Harpercollins Publisher
5466,"Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies, Marriage, Motherhood, Hollywood, and the Irrepressible Urge to Say What I Think",Cybill Shepherd,2001,Avon Books
8064,Wish You Well,David Baldacci,2000,Warner Books
396,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1982,Pocket
13769,Crow Lake (Today Show Book Club #7),Mary Lawson,2003,Delta
26635,My Antonia,Willa Cather,1995,Mariner Books
4700,Pen Pals,Olivia Goldsmith,2002,Signet Book
2,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK)
28769,Pride and Prejudice (Dover Thrift Editions),Jane Austen,1995,Dover Publications
23072,The Martian Chronicles,RAY BRADBURY,1984,Spectra
25187,Kabale Und Liebe,Schiller,0,"Philipp Reclam, Jun Verlag GmbH"
29528,Die Cappuccino- Jahre. Aus dem Tagebuch des Adrian Mole.,Sue Townsend,2002,Heyne
54683,Quersch√?¬ºsse - Downsize This!,Michael Moore,2003,Piper
18186,Das Buch der l√?¬§cherlichen Liebe.,Milan Kundera,2000,"Fischer (Tb.), Frankfurt"
8837,The God of Small Things,Arundhati Roy,1998,Perennial
9008,The James Dean Affair: A Neil Gulliver &amp; Stevie Marriner Novel,Robert S. Levinson,2000,St Martins Pr
8737,The Big Bad Wolf: A Novel,James Patterson,2003,"Little, Brown"
2393,Four Blind Mice,James Patterson,2002,"Little, Brown"
4241,Private Screening,Richard North Patterson,1994,Ballantine Books
792,Congo,Michael Crichton,1995,Ballantine Books
21891,Protect and Defend,Richard North Patterson,2001,Ballantine Books
