ID,nonfiction,mystery,romance,fantasy,historical_fiction,classics,thriller,science_fiction,crime,young_adult,contemporary,history,biography,horror,memoir,religion,philosophy,science
1,8,31,7,8,12,15,26,10,18,3,6,1,5,14,3,1,0,0
100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,2,0
1001,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10015,10,1,1,2,1,3,0,1,1,0,2,3,3,3,1,0,3,0
10018,13,13,2,8,8,2,9,5,4,6,3,3,7,1,6,2,1,2
1002,0,5,1,1,2,0,4,1,3,1,0,0,0,1,0,0,0,0
10021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10030,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10035,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10039,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10040,1,3,3,1,2,0,2,1,1,1,4,0,0,0,0,0,0,0
10041,2,5,1,2,1,0,5,4,1,0,0,0,0,0,0,0,0,0
10044,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10046,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1005,0,0,0,3,1,0,1,0,0,0,0,0,0,2,0,0,0,0
10052,2,7,1,4,3,3,4,0,5,1,1,1,0,2,0,1,2,0
10054,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
10056,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10060,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
10061,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
10067,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10069,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
10077,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
10082,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
10084,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10086,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10101,13,35,70,8,8,5,4,1,5,6,26,2,6,0,6,2,1,0
10110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10127,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
10128,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10129,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1013,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
10130,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
10139,11,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,3,0
10140,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
10141,1,3,5,1,4,0,1,1,1,0,1,0,1,0,1,0,0,0
10142,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
10155,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0
10159,19,51,3,4,12,9,44,12,28,1,1,7,12,3,8,0,0,1
10161,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
10167,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1017,1,1,0,4,0,2,0,3,0,0,0,1,0,0,0,0,3,1
10180,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
