UserID,User-name,Location,Age
10,name10,usa,14
1000,name1000,usa,40
10000,name10000,usa,16
10002,name10002,usa,30
10003,name10003,spain,27
10004,name10004,usa,75
10005,name10005,canada,51
10011,name10011,usa,60
10013,name10013,united_kingdom,44
10014,name10014,spain,28
10015,name10015,canada,18
10032,name10032,usa,37
10034,name10034,usa,36
10038,name10038,united_kingdom,24
10040,name10040,usa,44
10049,name10049,austria,25
10052,name10052,usa,35
10053,name10053,usa,39
10059,name10059,usa,33
10064,name10064,usa,20
10068,name10068,usa,25
10069,name10069,usa,29
10070,name10070,usa,51
10071,name10071,canada,23
10075,name10075,canada,19
10081,name10081,usa,49
10083,name10083,usa,27
10089,name10089,usa,15
10105,name10105,usa,50
10107,name10107,usa,2
10109,name10109,usa,24
1011,name1011,germany,21
10110,name10110,canada,32
10115,name10115,usa,45
10117,name10117,united_kingdom,29
10119,name10119,united_kingdom,43
10122,name10122,usa,57
10127,name10127,usa,26
10128,name10128,usa,31
10132,name10132,usa,25
10139,name10139,usa,199
10144,name10144,portugal,26
10145,name10145,usa,29
10149,name10149,usa,34
10150,name10150,usa,25
10152,name10152,usa,34
10154,name10154,usa,52
10157,name10157,usa,33
10159,name10159,usa,53
1016,name1016,canada,25
10166,name10166,usa,64
10169,name10169,germany,24
10171,name10171,switzerland,28
10174,name10174,france,26
10183,name10183,usa,65
10188,name10188,canada,57
10189,name10189,spain,23
1019,name1019,usa,56
10191,name10191,usa,54
10197,name10197,usa,45
10198,name10198,usa,37
1020,name1020,canada,41
10203,name10203,france,25
10205,name10205,usa,74
10207,name10207,usa,47
1021,name1021,usa,0
10211,name10211,usa,28
10216,name10216,usa,22
10223,name10223,usa,37
10224,name10224,usa,32
10225,name10225,usa,48
10226,name10226,united_kingdom,18
10227,name10227,australia,45
10229,name10229,italy,30
10232,name10232,germany,61
10238,name10238,germany,44
10242,name10242,france,16
10247,name10247,malaysia,26
10256,name10256,germany,26
10258,name10258,germany,39
10265,name10265,usa,61
10266,name10266,usa,20
10274,name10274,new_zealand,15
10276,name10276,usa,52
10297,name10297,usa,49
10299,name10299,germany,25
10302,name10302,usa,21
10309,name10309,usa,19
10310,name10310,australia,19
10317,name10317,australia,57
10320,name10320,usa,41
10321,name10321,usa,30
10327,name10327,canada,38
10334,name10334,usa,41
10335,name10335,usa,54
10340,name10340,usa,15
10343,name10343,usa,53
10348,name10348,usa,56
10352,name10352,france,25
10355,name10355,switzerland,58
10357,name10357,usa,42
1036,name1036,netherlands,29
10363,name10363,usa,36
10365,name10365,portugal,37
10368,name10368,united_kingdom,35
10370,name10370,australia,28
10374,name10374,usa,29
10375,name10375,spain,36
10380,name10380,new_zealand,43
1039,name1039,usa,40
10390,name10390,usa,57
10393,name10393,usa,17
10409,name10409,usa,12
1041,name1041,usa,66
10414,name10414,united_kingdom,25
10418,name10418,usa,22
10434,name10434,usa,36
10447,name10447,usa,52
10453,name10453,usa,47
1046,name1046,usa,42
10463,name10463,usa,32
10464,name10464,usa,43
10465,name10465,canada,45
10468,name10468,usa,28
10473,name10473,usa,35
10476,name10476,usa,33
10479,name10479,usa,40
1048,name1048,usa,50
10481,name10481,usa,54
10487,name10487,usa,55
10488,name10488,canada,30
10490,name10490,usa,22
10496,name10496,usa,22
10497,name10497,usa,37
10500,name10500,usa,35
10501,name10501,usa,25
1051,name1051,italy,34
10510,name10510,usa,29
10516,name10516,spain,32
10522,name10522,usa,59
10524,name10524,australia,40
10537,name10537,united_kingdom,30
