ISBN,Title,Author,Year_Publication,Publisher
61091,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
70554,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000,Berkley Publishing Group
2744,The Testament,John Grisham,1999,Dell
3449,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume
4749,Airframe,Michael Crichton,1997,Ballantine Books
4303,Timeline,MICHAEL CRICHTON,2000,Ballantine Books
16954,OUT OF THE SILENT PLANET,C.S. Lewis,1996,Scribner
49453,Sturmzeit. Roman.,Charlotte Link,1991,Goldmann
36048,Lying Awake,Mark Salzman,2000,Alfred A. Knopf
542,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company
548,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books
6039,Pigs in Heaven,Barbara Kingsolver,1993,Harpercollins
40169,Miss Zukas and the Raven's Dance,Jo Dereske,1996,Avon
43644,Pride and Prejudice,Jane Austen,1983,Bantam
23378,Icebound,Dean R. Koontz,2000,Bantam Books
4613,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket
412,From the Corner of His Eye,Dean Koontz,2001,Bantam Books
8042,Isle of Dogs,Patricia Cornwell,2002,Berkley Publishing Group
5326,Purity in Death,J.D. Robb,2002,Berkley Publishing Group
33371,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997,Dell
5510,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000,Tyndale House Publishers
2743,The Street Lawyer,JOHN GRISHAM,1999,Dell
41298,"Love, Medicine and Miracles",M.D. Bernie S. Siegel,1988,HarperCollins Publishers
12703,All the King's Men,Robert Penn Warren,1982,Harvest Books
2818,A Soldier of the Great War,Mark Helprin,1992,Avon Books
36133,Getting Well Again,O. Carol Simonton Md,1992,Bantam
22597,LONESOME DOVE,Larry McMurtry,1986,Pocket
61718,Haveli (Laurel Leaf Books),SUZANNE FISHER STAPLES,1995,Laurel Leaf
2720,Breathing Lessons,Anne Tyler,1994,Berkley Publishing Group
764,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12)
67224,Heart of Darkness (Wordsworth Collection),Joseph Conrad,1998,NTC/Contemporary Publishing Company
5728,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,1997,NTC/Contemporary Publishing Company
8382,The Accidental Virgin,Valerie Frankel,2003,Avon Trade
5805,The Tao of Pooh,Benjamin Hoff,1983,Penguin Books
2956,Seabiscuit,LAURA HILLENBRAND,2003,Ballantine Books
3778,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,Thomas Nelson
10694,Starship Troopers,Robert A. Heinlein,1987,Ace Books
19817,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,1988,Laurel Leaf
67777,Black Beauty (Illustrated Classics),Anna Sewell,1995,Landoll
39082,Anil's Ghost,MICHAEL ONDAATJE,2000,Knopf
58108,Turning Thirty,Mike Gayle,2000,Hodder &amp; Stoughton General Division
49719,Decipher,Stel Pavlou,2002,Simon &amp; Schuster (Trade Division)
45696,Standing Firm: A Vice-Presidential Memoir,Dan Quayle,1994,Harpercollins
2245,The Catcher in the Rye,J.D. Salinger,1991,"Little, Brown"
28770,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),J. R. R. Tolkien,2001,Minotauro
28771,El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),J. R. R. Tolkien,2001,Minotauro
3393,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994,Random House
3860,Pretend You Don't See Her,Mary Higgins Clark,1998,Pocket
53459,Fast Women,Jennifer Crusie,2001,St. Martin's Press
3419,Female Intelligence,Jane Heller,2001,St. Martin's Press
15296,Pasquale's Nose: Idle Days in an Italian Town,Michael Rips,2002,Back Bay Books
973,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,2000,Warner Books
2889,The Pillars of the Earth,Ken Follett,1996,Signet Book
62416,McDonald's: Behind the Arches,John F. Love,1995,Bantam
5772,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage
1025,The Five People You Meet in Heaven,Mitch Albom,2003,Hyperion
64506,Relics (Star Trek: The Next Generation),Michael Jan Friedman,1992,Star Trek
62690,Bless The Beasts And Children : Bless The Beasts And Children,Glendon Swarthout,1995,Pocket
60852,Blood Oath,David Morrell,1994,St. Martin's Press
2687,The Alibi,Sandra Brown,2000,Warner Books
127,The Beach House,James Patterson,2003,Warner Books
13923,The Short Forever,Stuart Woods,2003,Signet Book
20157,Dead Aim,IRIS JOHANSEN,2004,Bantam Books
1306,Angels &amp; Demons,Dan Brown,2001,Pocket Star
16594,All He Ever Wanted: A Novel,Anita Shreve,2004,Back Bay Books
1019,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,2002,Pocket
35809,The Mosquito Coast,Paul Theroux,1990,Harper Mass Market Paperbacks (Mm)
1734,The Girl Who Loved Tom Gordon,Stephen King,2000,Pocket
64103,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,Ben Mezrich,2003,Free Press
16995,"The Oneprince (The Redaemian Chronicles, Book 1)",Bill Hand,1992,Thomas Nelson Inc
5417,The Sum of All Fears,Tom Clancy,2002,Berkley Publishing Group
49918,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,DANA REEVE,1999,Random House
124,One Hundred Years of Solitude,Gabriel Garcia Marquez,1998,Perennial
128,Before I Say Good-Bye,Mary Higgins Clark,2001,Pocket
9761,Slow Waltz in Cedar Bend,Robert James Waller,1994,Warner Books
5087,Atonement : A Novel,IAN MCEWAN,2003,Anchor
10282,Next: The Future Just Happened,Michael Lewis,2001,W.W. Norton &amp; Company
129,Gangster,Lorenzo Carcaterra,2002,Fawcett Books
