ID,Drama,Comedy,Action,Thriller,Sci-Fi,Romance,Adventure,Crime,War,Horror,Children,Animation,Mystery,Musical,Fantasy,Film-Noir,Western,Documentary
1,21,14,5,3,3,6,5,2,2,0,20,18,0,14,3,0,0,0
2,79,25,56,31,17,24,19,12,15,2,0,0,3,0,1,1,3,0
3,8,30,23,5,6,5,25,0,2,3,3,3,1,1,2,0,6,0
4,6,0,19,4,9,2,6,1,3,3,1,0,0,0,2,0,2,0
5,104,56,31,39,15,30,9,21,6,10,6,4,8,3,0,3,1,6
6,22,32,11,3,2,34,8,2,5,0,16,9,0,19,2,0,8,0
7,8,3,29,15,10,3,8,2,4,1,0,0,1,0,0,0,0,0
8,108,18,36,29,13,30,9,13,10,1,3,4,4,1,0,0,1,0
9,54,27,20,27,9,18,7,16,7,1,5,9,1,0,1,1,1,2
10,116,183,81,27,71,67,70,15,24,19,64,33,8,37,38,4,8,2
11,54,84,9,18,4,22,8,7,4,4,6,1,3,3,2,0,1,2
12,12,7,6,3,1,1,3,6,1,1,1,0,1,1,0,1,0,0
13,22,18,66,20,37,13,75,8,9,3,12,2,4,2,14,1,3,0
14,13,8,4,4,2,6,0,3,1,4,0,0,1,0,0,0,0,0
15,79,63,56,63,18,25,23,32,13,10,3,2,19,4,7,2,3,0
16,4,22,7,5,5,11,5,1,1,2,4,4,1,1,0,1,2,0
17,69,33,63,56,116,15,35,22,12,20,11,10,9,2,9,12,2,1
18,103,80,127,42,44,44,81,33,21,7,78,42,8,22,33,3,9,0
19,39,74,99,52,54,21,44,15,10,58,30,30,9,17,8,1,2,1
20,6,4,17,9,9,2,4,5,3,1,0,0,2,0,0,1,0,0
21,1,7,5,2,5,1,5,1,2,1,8,14,1,2,0,1,1,0
22,55,140,105,88,58,30,51,24,14,31,19,11,11,6,13,2,4,1
23,72,92,99,99,111,27,53,54,11,30,22,13,15,5,28,9,2,5
24,66,72,28,5,14,38,26,13,10,3,4,4,1,7,6,1,3,1
25,19,27,45,16,43,5,27,2,13,3,8,9,1,1,6,1,1,1
26,138,217,67,48,33,102,35,12,14,13,31,12,13,14,14,1,8,0
27,25,25,7,8,4,9,9,6,6,2,6,3,4,1,9,14,2,0
28,46,36,19,22,15,24,10,7,8,6,6,4,5,6,4,6,3,0
29,24,11,90,34,29,9,29,8,17,7,0,1,1,1,3,2,3,0
30,27,8,4,7,3,6,1,6,2,1,1,1,2,1,1,1,0,2
31,21,106,16,5,8,22,11,7,5,6,6,3,3,7,2,0,5,1
32,21,13,7,22,5,9,2,5,4,0,3,4,1,3,1,1,1,0
33,163,83,70,88,47,43,37,37,23,53,18,4,17,17,7,11,12,3
34,41,120,17,18,7,62,13,5,2,16,9,5,3,4,4,0,1,0
35,101,74,19,18,6,61,10,7,13,2,11,10,11,28,3,2,15,0
36,111,138,123,91,68,49,42,31,38,18,17,20,12,8,9,5,10,10
37,9,29,9,4,4,38,6,1,5,4,4,3,1,7,2,0,0,0
38,44,49,7,11,2,61,4,3,2,0,14,8,1,7,0,0,0,1
39,18,28,12,12,8,8,5,7,1,4,4,5,3,0,0,1,0,0
40,21,17,49,10,24,12,61,2,41,1,10,1,1,3,9,1,2,0
41,9,5,7,6,6,7,4,0,4,5,3,2,2,1,2,0,0,0
42,41,59,125,56,120,19,67,17,12,13,11,4,5,3,23,1,4,1
43,5,15,3,4,1,7,1,1,1,0,1,2,0,1,0,0,0,0
44,36,69,56,32,46,29,65,8,9,28,35,18,10,16,25,2,2,0
45,85,235,13,12,13,150,18,4,7,5,19,8,5,15,7,0,6,0
46,4,4,3,9,1,0,2,0,0,33,0,0,3,0,1,0,0,1
47,20,3,3,3,0,6,1,5,2,0,1,0,0,0,0,0,0,0
48,152,240,191,92,104,84,114,26,53,21,87,38,23,37,35,4,24,3
49,22,16,64,29,27,10,27,13,10,4,19,24,3,8,3,2,0,1
50,16,15,8,8,4,7,6,2,1,3,3,3,2,2,0,0,1,0
51,13,26,2,6,3,7,0,1,0,3,6,5,1,2,0,1,0,0
52,21,19,63,33,11,8,14,8,7,5,0,0,4,0,1,0,3,0
53,294,165,156,157,136,97,87,60,36,87,58,34,36,45,42,10,10,1
54,11,36,2,1,2,4,1,2,1,1,3,1,1,1,1,0,4,0
55,13,3,3,7,1,3,1,3,4,0,4,3,0,0,0,0,1,1
56,32,27,8,16,1,8,0,12,9,0,6,5,1,2,0,1,0,1
57,19,22,18,11,9,1,10,6,5,9,7,6,1,4,0,0,0,0
58,133,116,165,84,153,44,81,28,35,44,32,21,18,16,18,5,7,2
59,115,53,18,21,16,62,12,11,27,8,7,3,11,30,2,9,6,1
60,12,26,23,19,12,11,29,8,4,3,8,2,21,0,4,2,2,0
61,5,13,15,8,6,3,5,2,1,4,2,1,1,0,1,0,0,0
62,242,159,83,82,53,97,45,42,30,16,11,7,28,20,11,18,13,3
63,36,40,15,24,11,9,3,5,5,13,4,5,3,0,0,2,0,2
64,7,5,15,9,5,1,8,0,3,6,0,1,2,1,0,0,0,0
65,44,35,58,29,19,16,34,9,16,1,8,5,2,5,3,1,0,1
66,11,11,7,2,4,1,6,0,7,1,4,1,0,4,1,0,0,0
67,54,13,5,6,2,10,3,7,9,2,0,0,0,1,0,1,1,0
68,21,53,7,3,4,14,3,4,2,3,6,5,1,6,2,0,5,1
69,63,10,5,6,3,14,3,4,7,0,0,0,0,0,0,0,1,0
70,17,22,10,12,6,4,4,3,2,5,6,6,2,2,1,1,0,0
71,9,7,9,6,3,1,6,3,1,2,0,0,2,1,0,1,0,0
72,22,26,8,6,4,10,4,3,4,0,0,0,0,0,1,0,1,0
